credit_policy,int_rate,installment,log_annual_inc,dti,fico,days_with_cr_line,revol_bal,revol_util,inq_last_6mths,delinq_2yrs,pub_rec,not_fully_paid,repayment_velocity_proxy,approx_credit_limit,credit_utilization,annual_inc,debt_to_income_calc,credit_age_years,has_recent_inq,has_past_delinquency,target_default,purpose_debt_consolidation,purpose_educational,purpose_small_business
1,0.001189,2.4630994696844417,11.35040654,0.9985052879745594,0.6888248849370788,5639.958333,0.3537324453727742,0.182703688134361,0,0,0,0,-0.0966467614290971,55381.95766721314,0.14557501944685766,85000.00038484143,1.1219496865931542,0.4322297040729267,0,0,0,True,False,False
1,0.001071,-0.4388544264934084,11.08214255,0.24454045358057955,-0.10130262978475811,2760.0,0.4950176152331965,1.0306023146220764,0,0,0,0,-0.09664676126359531,43837.02732224638,1.0251632461185283,65000.000072944706,-0.5852929877050951,-0.7212300455000309,0,0,0,False,False,False
1,0.001357,0.2307083616940786,10.37349118,-0.14188468312230768,-0.7597422253862889,4710.0,-0.39707276741243897,-0.7306830436511862,1,0,0,0,-0.09664676113328227,13714.84369642639,-0.8019488832686235,31999.999942980372,1.5896423695569804,0.05976962588211311,1,0,0,True,False,False
1,0.001008,-0.7570223180527825,11.35040654,-0.6546969885964404,0.03038528933554805,2699.958333,0.4963211479389752,0.9099663311787022,1,0,0,0,-0.09664676071730881,45993.169336074905,0.9000185797221542,85000.00038484143,-1.0231609828852049,-0.745277492780152,1,0,0,True,False,False
1,0.001426,-1.0439915972947074,11.29973224,0.34332582687304725,-1.1548059827472075,4066.0,-0.36066272888057505,-0.251585852261786,0,1,0,0,-0.09664676133353194,11999.999969620252,-0.304945779580194,80799.99963565778,-1.1971164639793002,-0.19816052199998968,0,1,0,False,False,False
1,0.000788,-0.9367282568039106,11.90496755,0.6353237685169584,0.42544904669646655,6120.041667,1.0041063883264019,0.14478952190930053,0,0,0,0,-0.09664676135827872,99621.56843211458,0.106243838579439,147999.99959355473,-1.3142379099354102,0.6245091533498729,0,0,0,False,False,False
1,0.0014960000000000002,-0.6040235505269632,10.71441777,-1.250314680506906,-1.1548059827472075,3180.041667,-0.38735552360572506,1.034049057006173,0,0,1,1,-0.09664675959635084,4998.697910157945,1.0287388080150806,45000.00005613948,-0.3663914382838944,-0.5529980435032062,0,0,1,True,False,False
1,0.001114,-0.9073165619102161,11.00209984,-0.22178461740297997,0.2937611275761604,5116.0,0.21644675085962747,0.7514161815102675,0,0,0,1,-0.09664676104057596,35306.12239751295,0.7355427324583272,59999.99992774572,-0.9473794661397847,0.22237776259039566,0,0,1,False,False,False
1,0.001134,-1.1199597353370414,11.40756495,0.6745473726183793,-0.7597422253862889,3989.0,1.570017337094233,0.14823626429339692,1,0,0,0,-0.0966467614048926,136808.21891035573,0.10981940047648399,90000.00006188375,-1.2805185686286897,-0.22899999620328482,1,0,0,False,False,False
1,0.001221,-1.1347863204476558,10.20359214,-0.37867903380866363,-0.10130262978475811,2730.041667,-0.3342958173318697,-0.8202983456376928,1,0,0,0,-0.09664676096185112,24478.260763137994,-0.8949134925916156,26999.999865365404,-0.693453571334988,-0.7332287368990857,1,0,0,True,False,False
1,0.0013469999999999999,0.19965463457314997,10.4341158,1.3776667942882947,-0.8914301445065951,6713.041667,-0.09089071027101221,0.8341379987285813,2,0,1,0,-0.09664676153126187,19501.408423237455,0.8213562179872128,33999.99987765788,1.353508802529601,0.8620131559804426,1,0,0,True,False,False
1,0.0013239999999999999,-0.3163781403679419,11.83500896,-0.5007080243464175,-1.2864939018675137,4298.0,-0.349345694934951,-0.9857419800743202,2,1,0,0,-0.09664676093952058,28142.85698822606,-1.0665404636494977,137999.9994287708,-1.0429449893808698,-0.10524158673811405,1,1,0,True,False,False
1,0.0008590000000000001,-0.014389095753374949,10.93310697,0.4188675829202282,1.4789523996589158,6519.958333,-0.3213197417607091,-1.0374431158357662,0,0,0,0,-0.09664676126301727,36335.32912374055,-1.1201738921050823,56000.00001583201,-0.0017921161974679442,0.7846808378248685,0,0,0,True,False,False
1,0.000714,-1.0927696134566638,11.51292546,-0.887133161049305,0.9522007231776912,4384.0,-0.4115893816358835,-1.4476054595432384,0,1,0,0,-0.09664676033315124,62937.49868880211,-1.5456657578527606,99999.99950297715,-1.2916151012874022,-0.07079749866690158,0,1,0,False,False,True
1,0.000863,-0.5290696088602741,9.487972109,-0.4179026379100845,0.42544904669646655,1559.958333,-0.31497983269169455,-0.07580199067286937,0,0,0,0,-0.09664676090473798,14085.201762140801,-0.12259212283117865,13200.00000561709,2.7955793783969924,-1.2018619160497133,0,0,0,True,False,False
1,0.001103,0.04076386905549026,10.73891524,0.06294969385177905,-0.23299054890506427,8159.958333,-0.3412874927537736,0.2275113391276143,1,0,0,0,-0.09664676120162252,10101.123576589656,0.19205732410821505,46115.99998372827,0.39677679954928824,1.4415215870898515,1,0,0,False,False,False
1,0.001317,-1.1658400475685844,10.52277288,-1.5030890180493963,-1.0231180636269013,3895.958333,-0.4355862337195367,1.4338711735613558,0,0,0,0,-0.09664675773973773,2501.131218890123,1.4435039880709402,37151.99983290448,-0.9735939037513826,-0.26626436099910356,0,0,0,False,False,False
1,0.0008939999999999999,0.760601820435647,11.60823564,-0.8043277746129719,2.269079914380753,6510.958333,-0.27634786341134426,0.20338414243893943,1,0,0,0,-0.09664676036433145,14394.686879706476,0.16702839082899698,109999.99947479916,-0.3606514635504089,0.781076223956951,1,0,0,False,False,False
1,0.001039,1.279966954896714,10.49127422,-1.279369202063514,0.03038528933554805,2760.0,-0.254869199509309,0.448102851709784,0,0,0,0,-0.0966467593032279,13897.993287795998,0.42089328551877353,36000.00009222308,2.8916506264931905,-0.7212300455000309,0,0,0,True,False,False
1,0.0015129999999999998,-0.7024005989644928,11.00209984,-1.4333581663135369,-1.1548059827472075,1126.958333,-0.48357993788684306,1.2960014781974998,3,0,0,0,-0.09664675850621593,700.2369659949799,1.3004815121863174,59999.99992774572,-0.7539953166869486,-1.3752838943617482,1,0,0,False,False,False
1,0.0008,-0.6330005898310956,11.22524339,0.5045784215122218,1.610640318779222,4888.958333,0.38166952131707665,-0.8134048608695,1,0,0,0,-0.09664676128442551,128435.3442739856,-0.8877623687975097,74999.99981111639,-0.8598894314679572,0.13144470242780354,1,0,0,False,False,False
1,0.000863,0.7501700862861594,10.81977828,-1.4551490574809929,2.269079914380753,11951.0,-0.33352554800572776,-0.661748195969258,0,0,0,0,-0.09664675759221429,20492.753548939294,-0.7304376453278162,49999.99977948582,1.0492856783772881,2.959881738947809,0,0,0,False,False,False
1,0.001355,0.0990560131223036,11.51292546,-0.6779406058417268,-1.2864939018675137,1939.958333,0.12585122780800842,0.3757212616437598,0,0,0,0,-0.0966467607816518,36675.90981511974,0.34580648568104355,99999.99950297715,-0.6167623002263556,-1.0496671082931928,0,0,0,False,False,False
1,0.000788,0.800541839609843,11.73606902,-0.8072332267686328,1.8740161570198344,5640.041667,0.0005047078500619577,-0.42047622908250976,1,0,0,0,-0.09664676039003299,48933.52587013431,-0.48014831253503343,125000.00046444529,-0.4847342146374729,0.432263080394268,1,0,0,False,False,False
1,0.001229,0.005315290973435033,11.26446411,-0.553006163148312,-1.0231180636269013,3760.958333,-0.35823341792889657,0.38950823118014505,0,0,1,0,-0.09664676088133371,8299.483634596414,0.3601087332690068,78000.00033760519,-0.42287681104861624,-0.32033356901786736,0,0,0,True,False,False
1,0.000901,-0.7730079847355622,12.4292162,-0.37867903380866363,0.03038528933554805,1553.958333,-0.07584083266793096,-0.3515413814005818,0,2,0,0,-0.09664676095474285,39218.57912781809,-0.40863707459425314,250000.00078890435,-1.3714882715695167,-1.2042649919616581,0,1,0,False,False,False
1,0.0007430000000000001,-0.7906356836455762,11.08214255,-1.7907287814598163,2.400767833501059,4649.958333,-0.45439858072338823,-1.4165847780863707,1,0,0,0,-0.09664672124668128,27649.122321945222,-1.5134857007794105,65000.000072944706,-0.8917401984240853,0.035722178601992054,1,0,0,False,False,False
